   Depth            BFSolver                A(i)                A(c)           A(+{c,i})         A(+{c,i,4})    A(+{*{i,i},c,4})    A(+{*{s,s},c,4})A(+{*{B,B,s,s},c,4})A(+{*{B,B,a,a},c,4})             A(rand)
       1                    0                   1                   1                   1                   1                   1                   1                   1                   1                   1
       2                    3                   4                   4                   4                   4                   4                   4                   4                   4                   3
       3                    6                   9                   7                   7                   7                   7                   7                   7                   7                   4
       4                   10                  19                  12                  11                  11                  11                   8                   8                   8                   5
       5                   20                  44                  24                  29                  29                  22                  18                  18                  18                  21
       6                   38                 105                  47                  54                  54                 178                 174                  25                  25                  11
       7                   67                 302                  81                 126                 126                 180                 176                  26                  26                  22
       8                  121                 450                 131                 276                 274                 181                 177                  30                  30                  23
       9                  196                1143                 212                 665                 649                 183                 179                  39                 129                  55
      10                  327                3040                 325                1462                1337                 186                 182                 170                 137                  61
      11                  518                8108                 474                3207                2808                 187                 183                 171                 144                 918
      12                  835                8958                 683                4589                3944                 191                 187                 176                 158                  66
      13                 1281                9287                 977                9348                7714                 197                 193                 182                 159                  70
      14                 1997                9299                1409               10069               10755                 223                 219                 193                 164                9877
      15                 3010                9350                2023                9411               10779                 242                 238                 194                 170                9878
      16                 4649                9357                2912               10258               10845                 272                 258                 195                 181                9946
      17                 6971                9344                4271               10226               10855                 301                 260                 196                 182                9952
      18                10746                9377                6120               10348               10935                 352                 261                 198                 183                9998
      19                16117                9366                8901               10351               10981                 382                 269                 200                 184               10000
      20                24822                9379               10610               10416               10969                 385                 272                 201                 186               11106
      21                37247                9193                   0               10356               10977                 386                 273                 205                 188               11108
      22                48827                9255                   0               10418               10934                 392                 279                 213                 189               11101
      23                    0                6642                   0               10366               10970                 393                 280                 218                 193               11107
      24                    0                   0                   0               10404               10703                 398                 285                 224                 201               11108
      25                    0                   0                   0               10293               10707                 404                 291                 233                 206               11064
      26                    0                   0                   0               10149               10711                 415                 302                 245                 211               11066
      27                    0                   0                   0                9334               10311                 418                 303                 248                 218               11089
      28                    0                   0                   0                9338                   0                 425                 304                 260                 227               11091
      29                    0                   0                   0                   0                   0                 428                 305                 261                 228               11093
      30                    0                   0                   0                   0                   0                 432                 307                 262                 240               11109
      31                    0                   0                   0                   0                   0                 433                 309                 263                 241               11075
      32                    0                   0                   0                   0                   0                3115                 310                 265                 242               11077
      33                    0                   0                   0                   0                   0                3121                 314                 268                 243               11461
      34                    0                   0                   0                   0                   0                3128                 322                 279                 245               11462
      35                    0                   0                   0                   0                   0                3130                 326                 281                 248               11463
      36                    0                   0                   0                   0                   0                3136                 331                 284                 259               11470
      37                    0                   0                   0                   0                   0                3138                 338                 286                 261               11494
      38                    0                   0                   0                   0                   0                3141                 347                 289                 264               11488
      39                    0                   0                   0                   0                   0                3145                 348                 294                 266               11491
      40                    0                   0                   0                   0                   0                3147                 360                 305                 269               11487
      41                    0                   0                   0                   0                   0                3184                 361                 304                 274               11494
      42                    0                   0                   0                   0                   0                3185                 362                 304                 285               11481
      43                    0                   0                   0                   0                   0                3199                 363                 306                 284               11486
      44                    0                   0                   0                   0                   0                3199                 365                 308                 284               11484
      45                    0                   0                   0                   0                   0                3213                 368                 311                 286               11486
      46                    0                   0                   0                   0                   0                3215                 379                 314                 288               11414
      47                    0                   0                   0                   0                   0                3216                1003                 316                 291               11435
      48                    0                   0                   0                   0                   0                3219                1949                 341                 294               11436
      49                    0                   0                   0                   0                   0                3210                1953                 322                 296               11439
      50                    0                   0                   0                   0                   0                3222                1972                 328                 313               11441
      51                    0                   0                   0                   0                   0                3222                1974                 342                 302               11449
      52                    0                   0                   0                   0                   0                3223                4179                 361                 308               11451
      53                    0                   0                   0                   0                   0                3224                4184                 355                 314               11454
      54                    0                   0                   0                   0                   0                3225                4196                 373                 333               11456
      55                    0                   0                   0                   0                   0                3228                4215                 371                 327               11458
      56                    0                   0                   0                   0                   0                5390                4225                 514                 349               11460
      57                    0                   0                   0                   0                   0                3241                4254                 540                 347               11120
      58                    0                   0                   0                   0                   0                5394                7816                 568                 889               11180
      59                    0                   0                   0                   0                   0                5401                7828                 595                 899               11385
